competition_level,simulation_id,policy,efficiency_score,overall_match_rate,total_rounds,policy_matches,policy_unmatches,policy_total_agents,policy_match_rate,avg_quality,avg_rounds_matched,avg_rounds_all
Competition 0.5,34,Optimal_Stopping,0.9143442082562818,1.0,40,5,0,5,1.0,7.67054456688013,7.0,7.0
Competition 0.5,35,Greedy,0.8675074854727645,1.0,40,5,0,5,1.0,5.2689529189638025,1.0,1.0
Competition 0.5,35,Threshold_6,0.8675074854727645,1.0,40,5,0,5,1.0,7.900070274641271,1.6,1.6
Competition 0.5,35,Threshold_8,0.8675074854727645,1.0,40,5,0,5,1.0,8.217258210399212,15.4,15.4
Competition 0.5,35,Optimal_Stopping,0.8675074854727645,1.0,40,5,0,5,1.0,4.165062116865158,33.4,33.4
Competition 0.5,36,Greedy,0.9459174475517528,1.0,40,5,0,5,1.0,7.5025474324685515,1.0,1.0
Competition 0.5,36,Threshold_6,0.9459174475517528,1.0,40,5,0,5,1.0,8.363290796509975,3.0,3.0
Competition 0.5,36,Threshold_8,0.9459174475517528,1.0,40,5,0,5,1.0,8.014228912396055,18.0,18.0
Competition 0.5,36,Optimal_Stopping,0.9459174475517528,1.0,40,5,0,5,1.0,5.772472887155225,19.8,19.8
Competition 0.5,37,Greedy,0.8376618571067188,1.0,40,5,0,5,1.0,5.47705252273506,1.0,1.0
Competition 0.5,37,Threshold_6,0.8376618571067188,1.0,40,5,0,5,1.0,7.395381387534511,1.8,1.8
Competition 0.5,37,Threshold_8,0.8376618571067188,1.0,40,5,0,5,1.0,9.082905262111927,2.6,2.6
Competition 0.5,37,Optimal_Stopping,0.8376618571067188,1.0,40,5,0,5,1.0,5.903332961170271,26.6,26.6
Competition 0.5,38,Greedy,0.8708020765666721,1.0,40,5,0,5,1.0,7.275248811237347,1.0,1.0
Competition 0.5,38,Threshold_6,0.8708020765666721,1.0,40,5,0,5,1.0,8.250240224447044,2.0,2.0
Competition 0.5,38,Threshold_8,0.8708020765666721,1.0,40,5,0,5,1.0,5.640010413280047,24.6,24.6
Competition 0.5,38,Optimal_Stopping,0.8708020765666721,1.0,40,5,0,5,1.0,5.6923164776354325,31.2,31.2
Competition 0.5,39,Greedy,0.9226972522528967,1.0,40,5,0,5,1.0,7.267061105896114,1.0,1.0
Competition 0.5,39,Threshold_6,0.9226972522528967,1.0,40,5,0,5,1.0,7.500221072127067,2.0,2.0
Competition 0.5,39,Threshold_8,0.9226972522528967,1.0,40,5,0,5,1.0,9.023524916502584,3.8,3.8
Competition 0.5,39,Optimal_Stopping,0.9226972522528967,1.0,40,5,0,5,1.0,6.4441654560438595,20.2,20.2
Competition 0.5,40,Greedy,0.9205855536924358,1.0,40,5,0,5,1.0,6.818016437974892,1.0,1.0
Competition 0.5,40,Threshold_6,0.9205855536924358,1.0,40,5,0,5,1.0,8.232890661300818,2.2,2.2
Competition 0.5,40,Threshold_8,0.9205855536924358,1.0,40,5,0,5,1.0,8.921240495382799,2.8,2.8
Competition 0.5,40,Optimal_Stopping,0.9205855536924358,1.0,40,5,0,5,1.0,7.474209844720605,15.8,15.8
Competition 0.5,41,Greedy,0.8919670123380301,1.0,40,5,0,5,1.0,5.671678538649,1.0,1.0
Competition 0.5,41,Threshold_6,0.8919670123380301,1.0,40,5,0,5,1.0,5.82766298313112,11.2,11.2
Competition 0.5,41,Threshold_8,0.8919670123380301,1.0,40,5,0,5,1.0,8.083934937395263,10.2,10.2
Competition 0.5,41,Optimal_Stopping,0.8919670123380301,1.0,40,5,0,5,1.0,4.973445393230624,36.6,36.6
Competition 0.5,42,Greedy,0.8356023162222109,1.0,40,5,0,5,1.0,3.5445840201667345,1.0,1.0
Competition 0.5,42,Threshold_6,0.8356023162222109,1.0,40,5,0,5,1.0,8.95792259062102,3.8,3.8
Competition 0.5,42,Threshold_8,0.8356023162222109,1.0,40,5,0,5,1.0,7.888512714172552,12.0,12.0
Competition 0.5,42,Optimal_Stopping,0.8356023162222109,1.0,40,5,0,5,1.0,4.470253484714219,33.2,33.2
Competition 0.5,43,Greedy,0.9030659428425205,1.0,40,5,0,5,1.0,5.229384216461067,1.0,1.0
Competition 0.5,43,Threshold_6,0.9030659428425205,1.0,40,5,0,5,1.0,7.511965304598219,3.4,3.4
Competition 0.5,43,Threshold_8,0.9030659428425205,1.0,40,5,0,5,1.0,9.26656726834337,4.0,4.0
Competition 0.5,43,Optimal_Stopping,0.9030659428425205,1.0,40,5,0,5,1.0,7.602438339466659,28.6,28.6
Competition 0.5,44,Greedy,0.87197379809536,1.0,40,5,0,5,1.0,5.698261778700505,1.0,1.0
Competition 0.5,44,Threshold_6,0.87197379809536,1.0,40,5,0,5,1.0,7.997479686989332,2.0,2.0
Competition 0.5,44,Threshold_8,0.87197379809536,1.0,40,5,0,5,1.0,8.775049817438822,8.0,8.0
Competition 0.5,44,Optimal_Stopping,0.87197379809536,1.0,40,5,0,5,1.0,6.000101289845893,30.4,30.4
Competition 0.5,45,Greedy,0.9498298968395901,1.0,40,5,0,5,1.0,6.855253639172036,1.0,1.0
Competition 0.5,45,Threshold_6,0.9498298968395901,1.0,40,5,0,5,1.0,7.898935634812925,3.2,3.2
Competition 0.5,45,Threshold_8,0.9498298968395901,1.0,40,5,0,5,1.0,9.041119848585263,8.0,8.0
Competition 0.5,45,Optimal_Stopping,0.9498298968395901,1.0,40,5,0,5,1.0,6.530365157191549,32.8,32.8
Competition 0.5,46,Greedy,0.9488505476976077,1.0,40,5,0,5,1.0,6.498976996947462,1.0,1.0
Competition 0.5,46,Threshold_6,0.9488505476976077,1.0,40,5,0,5,1.0,7.783286164248712,3.6,3.6
Competition 0.5,46,Threshold_8,0.9488505476976077,1.0,40,5,0,5,1.0,8.677725654903188,9.0,9.0
Competition 0.5,46,Optimal_Stopping,0.9488505476976077,1.0,40,5,0,5,1.0,5.721809503127415,33.0,33.0
